name	relic	sets	primaries	secondaries	done
bo-katan (mand'alor)		offense,health	offense%,offense%,defense%,offense%,health%,offense%	speed,offense%,health%,offense,health	0,0,0,0,0,0
bo-katan kryze	7	potency,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%%,potency%	potency%,speed,criticalchance%,tenacity%,-	0,0,0,0,0,0
boba fett	8	potency,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	criticalchance%,speed,offense%,potency%,offense	0,0,0,0,0,0
boba fett, scion of jango	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,potency%,tenacity%	0,0,0,0,0,0
bodhi rook		speed,potency	offense%,speed,defense%,protection%,protection%,potency%	potency%,tenacity%,speed,-,-	0,0,0,0,0,0
bossk	5	speed,tenacity	offense%,speed,defense%,protection%,protection%,protection%	protection%,protection,tenacity%,speed,defense	0,0,0,0,0,0
boushh (leia organa)	5	speed,potency	offense%,speed,defense%,offense%,health%,offense%	potency%,offense%,offense,speed,-	0,0,0,0,0,0
bt-1	7	critical,chance	offense%,speed,defense%,offense%,protection%,offense%	potency%,offense%,offense,speed,-	0,0,0,0,0,0
c-3po	7	potency,speed	offense%,speed,defense%,protection%,protection%,potency%	tenacity%,speed,potency%,protection%,protection	0,0,0,0,0,0
cad bane	7	potency,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,protection%,offense%,potency%,offense	0,0,0,0,0,0
cal kestis		health,health,potency	offense%,health%,defense%,health%,health%,health%	speed,health%,health,tenacity,-	0,0,0,0,0,0
canderous ordo	7	offense,tenacity	offense%,speed,defense%,offense%,protection%,offense%	potency%,speed,criticalchance%,offense%,offense	0,0,0,0,0,0
captain drogan	7	critical,chance	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,potency%,criticalchance%,offense%,offense	0,0,0,0,0,0
captain han solo	5	health,speed	offense%,speed,defense%,health%,health%,health%	criticalchance%,speed,health%,health,tenacity%	0,0,0,0,0,0
captain phasma	7	speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	potency%,tenacity%,speed,protection%,protection	0,0,0,0,0,0
captain rex	7	speed,potency	offense%,speed,defense%,criticaldamage%,health%,potency%	potency%,tenacity%,speed,criticalchance%,health%	0,0,0,0,0,0
cara dune		health,health,tenacity	offense%,speed,defense%,health%,health%,potency%	potency%,tenacity%,speed,health%,health	0,0,0,0,0,0
carth onasi		criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	potency%,tenacity%,speed,criticalchance%,offense%	0,0,0,0,0,0
cassian andor	8	offense,potency	offense%,speed,defense%,offense%,protection%,potency%	potency%,tenacity%,speed,offense%,offense	0,0,0,0,0,0
cc-2224 "cody"	5	criticalchance,speed	offense%,speed,defense%,criticalchance%,protection%,protection%	potency%,tenacity%,speed,criticalchance%,-	0,0,0,0,0,0
cere junda		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	speed,health%,health,tenacity,-	0,0,0,0,0,0
chewbacca	6	tenacity,tenacity,tenacity	offense%,speed,defense%,criticaldamage%,protection%,tenacity%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
chief chirpa	3	speed,health	offense%,speed,defense%,criticaldamage%,protection%,tenacity%	speed,tenacity%,health%,criticalchance%,protection%	0,0,0,0,0,0
chief nebit		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	speed,protection%,protection,-,-	0,0,0,0,0,0
chirrut îmwe		speed,health	offense%,speed,defense%,criticaldamage%,protection%,tenacity%	speed,tenacity%,health%,health,-	0,0,0,0,0,0
chopper		health,speed	offense%,speed,defense%,protection%,protection%,tenacity%	health%,health,tenacity%,speed,-	0,0,0,0,0,0
clone sergeant - phase i	5	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	potency%,tenacity%,speed,offense%,offense	0,0,0,0,0,0
clone wars chewbacca		defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,health%,health,-	0,0,0,0,0,0
colonel starck	3	speed,health	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,criticalchance%,health%,health	0,0,0,0,0,0
commander ahsoka tano		speed,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,offense,health%	0,0,0,0,0,0
commander luke skywalker	7	offense,tenacity	offense%,speed,defense%,offense%,protection%,offense%	speed,tenacity%,potency%,offense%,offense	0,0,0,0,0,0
coruscant underworld police		speed,potency	offense%,speed,defense%,criticalchance%,health%,potency%	speed,potency%,tenacity%,-,-	0,0,0,0,0,0
count dooku	8	speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,tenacity%,protection%,protection	0,0,0,0,0,0
ct-21-0408 "echo"	7	criticaldamage,criticalchance	offense%,offense%,defense%,criticaldamage%,health%,offense%	speed,tenacity%,offense%,offense,criticalchance%	0,0,0,0,0,0
ct-5555 "fives"		defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	speed,protection,offense%protection%,offense	0,0,0,0,0,0
ct-7567 "rex"		health,speed	offense%,speed,defense%,health%,health%,tenacity%	speed,health%,health,tenacity%,-	0,0,0,0,0,0
dark trooper		offense,health	offense%,offense%,defense%,offense%,protection%,offense%	offense%,offense,tenacity%,speed,-	0,0,0,0,0,0
dark trooper moff gideon		speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,tenacity%,-	0,0,0,0,0,0
darth bane					0,0,0,0,0,0
darth malak	9	defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,protection,protection%,defense%,defense	0,0,0,0,0,0
darth malgus	8	health,health,health	offense%,health%,defense%,health%,health%,health%	speed,health,health%,offense%,offense	0,0,0,0,0,0
darth maul	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,potency%	potency%,tenacity%,speed,offense%,offense	0,0,0,0,0,0
darth nihilus		speed,health	offense%,speed,defense%,health%,health%,tenacity%	tenacity%,speed,health%,health,potency%	0,0,0,0,0,0
darth revan	9	speed,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,offense%,offense,potency,health%	0,0,0,0,0,0
darth sidious	7	speed,potency	offense%,speed,defense%,criticaldamage%,health%,potency%	potency%,criticalchance%,speed,offense%,offense	0,0,0,0,0,0
darth sion		health,defense,potency	offense%,speed,defense%,health%,protection%,protection%	speed,protection%,protection,health%,health	0,0,0,0,0,0
darth talon	5	offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
darth traya		health,speed	offense%,speed,defense%,health%,health%,health%	potency%,tenacity%,speed,health%,health	0,0,0,0,0,0
darth vader	7	potency,criticaldamage	offense%,speed,defense%,criticaldamage%,health%,potency%	speed,potency%,offense%,offense,criticalchance%	0,0,0,0,0,0
dash rendar	7	health,speed	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,offense%,offense,potency,health%	0,0,0,0,0,0
dathcha		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	speed,potency%,health%,protection%,-	0,0,0,0,0,0
death trooper		criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,criticalchance%,potency%,offense%,offense	0,0,0,0,0,0
dengar	5	criticalchance,speed	offense%,speed,defense%,criticalchance%,protection%,potency%	speed,criticalchance%,potency%,protection%,tenacity%	0,0,0,0,0,0
director krennic	4	criticalchance,speed	offense%,speed,defense%,criticaldamage%,health%,potency%	speed,potency%,criticalchance%,-,-	0,0,0,0,0,0
doctor aphra	7	potency,potency,potency	offense%,speed,defense%,offense%,protection%,potency%	speed,potency%,criticalchance%,-,-	0,0,0,0,0,0
droideka	7	offense,tenacity	offense%,offense%,defense%,protection%,offense%,offense%	tenacity%,protection%,offense%,offense,protection	0,0,0,0,0,0
echo	5	speed,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,tenacity%,protection%,protection,potency%	0,0,0,0,0,0
eeth koth		criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,criticalchance%,-,-	0,0,0,0,0,0
eighth brother	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,criticalchance%,offense%,offense	0,0,0,0,0,0
embo	7	criticalchance,criticaldamage	offense%,speed,defense%,protection%,protection%,protection%	protection%,protection,speed,tenacity%,-	0,0,0,0,0,0
emperor palpatine	7	speed,potency	offense%,speed,defense%,protection%,protection%,protection%	speed,potency%,protection%,protection,-	0,0,0,0,0,0
enfys nest		tenacity,tenacity,tenacity	offense%,health%,defense%,criticaldamage%,health%,tenacity%	potency%,tenacity%,health%,health,-	0,0,0,0,0,0
ewok elder		speed,health	offense%,speed,defense%,health%,health%,tenacity%	speed,tenacity%,health%,health,criticalchance%	0,0,0,0,0,0
ewok scout		criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
ezra bridger	7	criticalchance,offense	offense%,speed,defense%,criticaldamage%,protection%,offense%	offense%,offense,tenacity%,speed,criticalchance%	0,0,0,0,0,0
fennec shand	7	health,offense	offense%,speed,defense%,offense%,protection%,offense%	speed,offense%,offense,tenacity%,-	0,0,0,0,0,0
fifth brother	7	speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,potency,-	0,0,0,0,0,0
finn	7	defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,potency%,health%,health,-	0,0,0,0,0,0
first order executioner	7	health,criticaldamage	offense%,speed,defense%,criticaldamage%,health%,offense%	tenacity%,speed,health%,health,criticalchance%	0,0,0,0,0,0
first order officer	5	speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	potency%,speed,protection%,protection,-	0,0,0,0,0,0
first order sf tie pilot	3	criticaldamage,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	potency%,speed,offense%,offense,criticalchance	0,0,0,0,0,0
first order stormtrooper	7	defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	tenacity%,health%,health,speed,-	0,0,0,0,0,0
first order tie pilot	3	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	offense%,offense,speed,health%,health	0,0,0,0,0,0
gamorrean guard	3	health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	health%,health,speed,-,-	0,0,0,0,0,0
gar saxon		offense,potency	offense%,speed,defense%,offense%,protection%,tenacity%	offense%,offense,speed,-,-	0,0,0,0,0,0
garazeb "zeb" orrelios		health,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,potency%	criticalchance%,speed,protection%,protection,-	0,0,0,0,0,0
general grievous	7	health,health,health	offense%,health%,defense%,criticaldamage%,health%,health%	health%,health,potency%,speed,criticalchance%	0,0,0,0,0,0
general hux	7	speed,tenacity	offense%,speed,defense%,protection%,protection%,tenacity%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
general kenobi	8	health,health,defense	offense%,speed,defense%,health%,health%,health%	health%,health,tenacity%,speed,-	0,0,0,0,0,0
general skywalker	8	defense,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,protection%	protection%,protection,speed,offense%,offense	0,0,0,0,0,0
general veers	3	speed,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
geonosian brood alpha		speed,tenacity	offense%,speed,defense%,protection%,protection%,protection%	tenacity%,speed,protection%,protection,-	0,0,0,0,0,0
geonosian soldier		criticaldamage,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,tenacity%	criticalchance%,speed,offense%,offense,potency%	0,0,0,0,0,0
geonosian spy		criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	criticalchance%,speed,offense%,offense,-	0,0,0,0,0,0
grand admiral thrawn	6	speed,tenacity	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,tenacity%,-	0,0,0,0,0,0
grand inquisitor	7	speed,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,potency%,-	0,0,0,0,0,0
grand master yoda	8	speed,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,tenacity%,criticalchance%,offense%,offense	0,0,0,0,0,0
grand moff tarkin	7	potency,speed	offense%,speed,defense%,health%,health%,potency%	speed,potency%,health%,health,-	0,0,0,0,0,0
greedo	7	tenacity,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,tenacity%,protection%,protection	0,0,0,0,0,0
greef karga		speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,health%,health,-	0,0,0,0,0,0
han solo	8	health,criticaldamage	health%,offense%,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,potency%,tenacity%	0,0,0,0,0,0
hera syndulla	5	health,speed	offense%,speed,defense%,health%,health%,health%	speed,potency%,health%,health,-	0,0,0,0,0,0
hermit yoda	5	speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,tenacity%,-	0,0,0,0,0,0
hk-47	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
hondo ohnaka	7	speed,health	offense%,speed,defense%,criticaldamage%,health%,protection%	speed,tenacity%,offense%,potency%,health%	0,0,0,0,0,0
hoth rebel scout		criticalchance,criticaldamage	offense%,speed,defense%,criticalchance%,protection%,tenacity%	criticalchance%,speed,offense%,offense,-	0,0,0,0,0,0
hoth rebel soldier		health,health,health	offense%,speed,defense%,health%,health%,health%	speed,criticalchance%,health%,health,-	0,0,0,0,0,0
hunter	5	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
iden versio		speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,offense%,offense,criticalchance%	0,0,0,0,0,0
ig-100 magnaguard	5	defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	protection%,protection,tenacity%,potency%,-	0,0,0,0,0,0
ig-11		health,health,health	offense%,health%,defense%,health%,health%,health%	potency%,speed,health%,health,tenacity%	0,0,0,0,0,0
ig-12 & grogu		speed,health	offense%,speed,defense%,health%,health%,health%	potency%,speed,health%,health,tenacity%	0,0,0,0,0,0
ig-86 sentinel droid	7	defense,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,-,-	0,0,0,0,0,0
ig-88	7	criticaldamage,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,potency%,criticalchance%,offense%,offense	0,0,0,0,0,0
ima-gun di		health,criticaldamage	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,health%,health,-	0,0,0,0,0,0
imperial probe droid	7	potency,speed	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,protection,-	0,0,0,0,0,0
imperial super commando		offense,tenacity	offense%,speed,defense%,offense%,protection%,potency%	speed,offense%,offense,potency,-	0,0,0,0,0,0
jabba the hutt	9	health,speed	offense%,speed,defense%,health%,health%,health%	speed,health,health%,tenacity%,-	0,0,0,0,0,0
jango fett	7	criticaldamage,potency	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,offense%,offense,criticalchance%	0,0,0,0,0,0
jawa	3	health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	protection%,protection,health%,health,-	0,0,0,0,0,0
jawa engineer		health,speed	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
jawa scavenger		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	speed,protection%,protection,health%,health	0,0,0,0,0,0
jedi consular		health,health,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,offense%,-	0,0,0,0,0,0
jedi knight anakin	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,health%,offense%	potency%,speed,criticalchance%,offense%,offense	0,0,0,0,0,0
jedi knight cal kestis		health,offense	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,offense%,criticalchance%,defense%,offense	0,0,0,0,0,0
jedi knight guardian		health,health,health	offense%,speed,defense%,protection%,protection%,protection%	potency%,health%,health,criticalchance%,-	0,0,0,0,0,0
jedi knight luke skywalker	7	criticalchance,offense	offense%,offense%,defense%,criticaldamage%,protection%,offense%	offense%,offense,criticalchance%,protection%,-	0,0,0,0,0,0
jedi knight revan		speed,health	offense%,speed,defense%,health%,health%,health%	criticalchance%,speed,health%,health,offense%	0,0,0,0,0,0
jedi master kenobi	9	speed,health	offense%,speed,defense%,criticaldamage%,health%,tenacity%	speed,health%,health,offense%,offense	0,0,0,0,0,0
jedi master luke skywalker	9	speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,potency%,offense%	0,0,0,0,0,0
jolee bindo		health,health,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,tenacity%,-	0,0,0,0,0,0
juhani		defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	potency%,criticalchance%,protection%,protection,-	0,0,0,0,0,0
jyn erso	5	health,speed	offense%,speed,defense%,criticalchance%,protection%,potency%	speed,criticalchance%,potency%,tenacity%,-	0,0,0,0,0,0
k-2so		tenacity,tenacity,tenacity	offense%,protection%,defense%,protection%,protection%,protection%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
kanan jarrus		defense,defense,defense	offense%,speed,defense%,health%,health%,health%	criticalchance%,health%,health,speed	0,0,0,0,0,0
kelleran beq		speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,tenacity%,-	0,0,0,0,0,0
ki-adi-mundi		offense,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
kit fisto		offense,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
krrsantan	7	tenacity,tenacity,tenacity	offense%,protection%,defense%,protection%,protection%,protection%	protection%,protection,tenacity%,-,-	0,0,0,0,0,0
kuiil		speed,health	offense%,speed,defense%,protection%,protection%,potency%	potency%,speed,protection%,health%,offense%	0,0,0,0,0,0
kyle katarn	5	speed,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,criticalchance%,tenacity%,health%	0,0,0,0,0,0
kylo ren	7	offense,tenacity	offense%,offense%,defense%,offense%,protection%,offense%	speed,protection%,offense%,tenacity%,defense%	0,0,0,0,0,0
kylo ren (unmasked)	7	defense,defense,defense	offense%,health%,defense%,health%,health%,health%	health%,health,defense%,tenacity%,defense	0,0,0,0,0,0
l3-37		defense,defense,defense	offense%,criticalavoidance%,defense%,protection%,protection%,protection%	tenacity%,protection%,protection,-,-	0,0,0,0,0,0
lando calrissian	5	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,-	0,0,0,0,0,0
leia organa	9	speed,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,-,-	0,0,0,0,0,0
lobot	3	speed,health	offense%,speed,defense%protection%,protection%,tenacity%	speed,tenacity%,potency%,-,-	0,0,0,0,0,0
logray		speed,potency	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,tenacity%,criticalchance%,-	0,0,0,0,0,0
lord vader	9	speed,health	offense%,speed,defense%,criticaldamage%,protection%,protection%	speed,protection%,protection,potency%,health%	0,0,0,0,0,0
luke skywalker (farmboy)		criticaldamage,defense	offense%,speed,defense%,criticaldamage%,protection%,offense%	potency%,tenacity%,speed,offense%,offense	0,0,0,0,0,0
luminara unduli		speed,health	offense%,speed,defense%,health%,health%,health%	health%,health,speed,tenacity%,potency%	0,0,0,0,0,0
mace windu	3	health,health,health	offense%,speed,defense%,health%,health%,potency%	tenacity%,health%,health,speed,-	0,0,0,0,0,0
magmatrooper		potency,potency,tenacity	offense%,speed,defense%,protection%,protection%,potency%	potency%,offense%,offense,speed,tenacity%	0,0,0,0,0,0
mara jade, the emperor's hand	5	potency,speed	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,protection%,-	0,0,0,0,0,0
maul		offense,health	offense%,speed,defense%,protection%,protection%,protection%	speed,offense%,offense,protection%,protection	0,0,0,0,0,0
merrin		offense,tenacity	offense%,offense%,defense%,health,health%,potency%	potency,tenacity,offense%,health%,offense	0,0,0,0,0,0
mission vao		criticaldamage,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,offense%	tenacity%,speed,criticalchance%,offense%,offense	0,0,0,0,0,0
mob enforcer	3	speed,health	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,health%,protection%,-	0,0,0,0,0,0
moff gideon		speed,health	offense%,speed,defense%,protection%,protection%,tenacity%	speed,potency%,tenacity%,health%,health	0,0,0,0,0,0
mon mothma	7	speed,health	offense%,speed,defense%,protection%,protection%,tenacity%	speed,tenacity%,protection%,health%,protection	0,0,0,0,0,0
mother talzin	7	offense,health	offense%,speed,defense%,offense%,health%,potency%	speed,potency%,health%,offense%,offense	0,0,0,0,0,0
nightsister acolyte	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,tenacity%,offense%,offense,criticalchance%	0,0,0,0,0,0
nightsister initiate		offense,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,potency%,offense%,offense,criticalchance%	0,0,0,0,0,0
nightsister spirit		offense,potency	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,potency%,offense%,offense,criticalchance%	0,0,0,0,0,0
nightsister zombie		speed,defense	offense%,speed,defense%,health%,health%,health%	speed,health%,health,tenacity%,potency%	0,0,0,0,0,0
ninth sister	7	defense,defense,defense	offense%,protection%,defense%,protection%,protection%,protection%	speed,protection%,protection,defense%,defense	0,0,0,0,0,0
nute gunray	7	speed,health	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,protection,tenacity%	0,0,0,0,0,0
obi-wan kenobi (old ben)	7	speed,defense	offense%,speed,defense%,defense%,health%,potency%	speed,potency%,tenacity%,health%,protection%	0,0,0,0,0,0
old daka		health,health,health	offense%,health,defense%,health%,health%,health%	speed,potency%,health%,health,tenacity%	0,0,0,0,0,0
omega		offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,protection%,criticalchance%,offense%,offense	0,0,0,0,0,0
padmé amidala	8	speed,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,potency%,-	0,0,0,0,0,0
pao		offense,tenacity	offense%,offense%,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,criticalchance%,tenacity%	0,0,0,0,0,0
paploo		speed,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,criticalchance%,health%,health	0,0,0,0,0,0
paz vizsla		defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%protection,defense%,defense	0,0,0,0,0,0
plo koon		defense,defense,defense	offense%,speed,defense%,protection%,protection%,protection%	speed,protection%,protection,defense%,-	0,0,0,0,0,0
poe dameron	5	speed,tenacity	offense%,speed,defense%,protection%,protection%,potency%	speed,potency%,protection%,tenacity%,protection	0,0,0,0,0,0
poggle the lesser		speed,health	offense%,speed,defense%,protection%,protection%,potency%	speed,tenacity%,potency%,protection%,protection	0,0,0,0,0,0
princess kneesaa	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,offense%,offense,tenacity%,-	0,0,0,0,0,0
princess leia	3	criticaldamage,tenacity	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,tenacity%,offense%,offense,health%	0,0,0,0,0,0
qi'ra		speed,criticalchance	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,tenacity%,protection%,protection,offense%	0,0,0,0,0,0
qui-gon jinn	3	speed,health	offense%,speed,defense%,offense%,protection%,offense%	speed,offense%,offense,protection%,protection	0,0,0,0,0,0
r2-d2	8	health,health,health	offense%,speed,defense%,health%,health%,health%	speed,health%,health,offense%,offense	0,0,0,0,0,0
range trooper		offense,tenacity	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,tenacity%,offense%,offense,criticalchance%	0,0,0,0,0,0
rebel officer leia organa	5	offense,health	offense%,speed,defense%,criticaldamage%,protection%,offense%	speed,potency%,offense%,offense,tenacity%	0,0,0,0,0,0
resistance hero finn	5	speed,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,health%,offense	0,0,0,0,0,0
